name,address,locality,coordinates.latitude+,coordinates.longitude+,hours.sun,hours.mon,hours.tue,hours.wed,hours.thu,hours.fri,hours.sat
El Real Mexican Food,"2335 Reo Dr, San Diego 92139",Paradise Hills,32.676259,-117.065081,,,,,,,
El Real Mexican Food,"5058 Imperial Ave, San Diego 92113",Encanto,32.704401,-117.085694,,,,,,,
El Rey Moro Taco Shop,"4471 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.8344038,-117.1957006,,,,,,,
El Rey Taco Shop,"4386 Moraga Ave, San Diego 92117",Clairemont,32.8232717,-117.2141278,,,,,,,
El Roberto,"12370 Poway Rd, Poway 92064",Poway,32.952036,-117.063368,,,,,,,
El Rodeo,"5149 Waring Rd, San Diego 92120",Grantville,32.791412,-117.081774,,,,,,,
El Rodeo Mexican Food,"6187 University Ave, San Diego 92115",Rolando/Redwood Village,32.753381,-117.062413,,,,,,,
El Rodeo Mexican Food,"6924 El Cajon Blvd, San Diego 92115",College Area,32.768837,-117.048682,,,,,,,
El Sol Mexican,"2037 University Avenue, San Diego 92104",North Park,32.748263,-117.142862,,,,,,,
El Tocayo Mexican Food,"106 Calle Primera, San Diego 92173",San Ysidro,32.550327,-117.044361,,,,,,,
El Torito,"5024 Baltimore Dr, La Mesa 91941",La Mesa,32.770494,-117.025904,,,,,,,
El Torito,"8223 Mira Mesa Blvd, San Diego 92126",Mira Mesa,32.912463,-117.146458,,,,,,,
El Torito,"3030 Plaza Bonita Rd, National City 91950",National City,32.656186,-117.065741,,,,,,,
El Zarape,"3201 Adams Ave, San Diego 92116",Normal Heights,32.763286,-117.124847,,,,,,,
El Zarape Mexican,"4642 Park Blvd, San Diego 92116",University Heights,32.761633,-117.146462,,,,,,,
Elena's Mexican Food,"10920 Roselle St, San Diego 92121",Sorrento Valley,32.901805,-117.225376,,,,,,,
Emilianos Mexican,"6690 Mission Gorge Rd, San Diego 92120",Grantville,32.795299,-117.09615,,,,,,,
En Fuego Cantina & Grill,"1342 Camino Del Mar, Del Mar 92014",Del Mar,32.957951,-117.264932,,,,,,,
Ernesto's Taco Shop,"3182 National Ave, San Diego 92113",Logan Heights/Sherman Heights,32.696137,-117.12575,,,,,,,
Family House of Pancakes,"1900 E Plaza Blvd, National City 91950",National City,32.676371,-117.086631,,,,,,,
Fat Fish Cantina,"4474 Mission Boulevard, San Diego 92109",Pacific Beach,32.796186,-117.2555049,,,,,,,
Fidel's Little Mexico,"607 Valley Ave, Solana Beach 92075",Solana Beach,32.989102,-117.258689,,,,,,,
Fiesta Cantina,"142 University Avenue, San Diego 92103",Hillcrest,32.7484,-117.163391,,,,,,,
Fiesta Mexican Grille,"9450 Scranton Rd, San Diego 92121",Sorrento Valley,32.893642,-117.201753,,,,,,,
Filiberto's Mexican Food,"2399 Ulric St, San Diego 92111",Linda Vista,32.7867249,-117.1697688,,,,,,,
Filiberto's Mexican Food,"3446 University Ave, San Diego 92104",City Heights East,32.749937,-117.119497,,,,,,,
Filiberto's Mexican Food,"7102 University Ave, La Mesa 91941",La Mesa,32.75498,-117.046331,,,,,,,
Fins Mexican Eatery,"8657 Villa La Jolla Drive, La Jolla 92037",La Jolla,32.865606,-117.231967,,,,,,,
Fred's Mexican Cafe,"2470 San Diego Ave, San Diego 92110",Old Town,32.75252,-117.194214,,,,,,,
Fresh Mxn Food,"12865 Rancho Penasquitos Blvd, San Diego 92129",Rancho Penasquitos,32.9507528,-117.1067755,,,,,,,
Fridas Cocina,"1615 E Plaza Blvd, National City 91950",National City,32.6769144,-117.0884357,,,,,,,
Fruit Barr Caffe,"1660 Broadway, Suite 14, Chula Vista 91911",Chula Vista,32.5968202,-117.0768523,,,,,,,
Funky Garcia's,"421 Market Street, San Diego 92101",Gaslamp,32.711342,-117.160841,,,,,,,
Gabriel's Tortilleria,"2480 Imperial Ave, San Diego 92102",Logan Heights/Sherman Heights,32.706496,-117.140736,,,,,,,
Galaxy Taco,"2259 Avenida De La Playa, San Diego, CA 92037",La Jolla,32.8536817,-117.2541131,,,,,,,
Gallegos Mexican,"4728 University Ave, San Diego 92105",City Heights East,32.749737,-117.092735,,,,,,,
Garcia's Mexican Food,"2540 Main Street, Chula Vista 91911",Chula Vista,32.594937,-117.078978,,,,,,,
Gloria's Taco Shop,"1233 28th St, San Diego 92102",Golden Hill/South Park,32.71832,-117.133635,,,,,,,
Graciela's Taco Shop,"8300 Paradise Valley Rd Ste 105, Spring Valley 91977",Spring Valley,32.697912,-117.019819,,,,,,,
Guadalajara de Noche,"111 Olive Dr, San Ysidro 92173",San Ysidro,32.552956,-117.042997,,,,,,,
Gualberto's 2,"5447 Kearny Villa Road, San Diego 92123",Kearny Mesa,32.832793,-117.138279,,,,,,,
Gualbertos Taco Shop,"2665 Market St, San Diego 92102",Logan Heights/Sherman Heights,32.711463,-117.136806,,,,,,,
Gualberto's Taco Shop,"5871 University Ave, San Diego 92115",Rolando/Redwood Village,32.74999,-117.070736,,,,,,,
Gualberto's Taco Shop,"6215 Imperial Ave, San Diego 92114",Encanto,32.709734,-117.063523,,,,,,,
Gualberto's Taco Shop 4,"8042 Clairemont Mesa Boulevard, San Diego 92111",Kearny Mesa,32.832947,-117.149844,,,,,,,
Guava Beach Bar & Grill,"3714 Mission Blvd, San Diego 92109",Mission Beach,32.782804,-117.252662,,,,,,,
Guerro Taco Shop,"3716 Main St, San Diego 92113",Barrio Logan,32.685087,-117.114559,,,,,,,
Habanero Street Tacos,"4741 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.834153,-117.188236,,,,,,,
Habanero's,"6785 Mira Mesa Blvd, San Diego 92121",Mira Mesa,32.907274,-117.17188,,,,,,,
Hacienda de Vega,"2608 S Escondido Blvd, Escondido 92025",Escondido,33.088495,-117.071764,,,,,,,
Harvest Taco Shop,"9350 Clairemont Mesa Boulevard, San Diego 92123",Kearny Mesa,32.832505,-117.127333,,,,,,,
Hector's Mexican & Seafood,"1224 Rosecrans Street, San Diego 92106",Point Loma,32.723162,-117.230976,,,,,,,
Hector's Taco Shop,"1045 Elkelton Blvd, Spring Valley 91977",Spring Valley,32.713581,-117.016961,,,,,,,
Hernandez' Hideaway,"19320 Lake Dr, Escondido 92029",Escondido,33.063201,-117.119967,,,,,,,
Hilberto's Mexican Food,"836 Euclid Ave, National City 91950",National City,32.682295,-117.082413,,,,,,,
Hilberto's Mexican Food,"2648 Jamacha Rd, El Cajon 92019",El Cajon,32.744045,-116.931968,,,,,,,
Hola Che,"1136 Garnet Avenue, San Diego 92109",Pacific Beach,32.7982193,-117.2492655,,,,,,,
Homemade Tamales,"7123 Broadway, Lemon Grove 91945",Lemon Grove,32.742362,-117.044251,,,,,,,
Hortencia's Taco Shop,"1015 Grand Ave, Spring Valley 91977",Spring Valley,32.715153,-116.997133,,,,,,,
Hot Dogs el Tigre,"3581 University Avenue San Diego, CA 92104",City Heights East,32.749494,-117.116011,,,,,,,
Huapangos Mexican Cuisine,"3693 5Th Avenue, San Diego 92103",Hillcrest,32.744943,-117.160264,,,,,,,
Humberto's Taco Shop,"1015 25th St, San Diego 92102",Golden Hill/South Park,32.716062,-117.140136,,,,,,,
Humberto's Taco Shop,"1136 S 43rd St, San Diego 92113",Mountain View,32.694667,-117.102562,,,,,,,
Ignacio Segura,"560arenas st., San Diego 92154",Otay Mesa West,32.57756,-117.044229,,,,,,,
Isabel's Cantina,"966 Felspar Street, San Diego 92109",Pacific Beach,32.798498,-117.252573,,,,,,,
It's a Taco Shop,"3910 W Point Loma Boulevard, San Diego 92110",Point Loma,32.754874,-117.220224,,,,,,,
Izalli,"3564 University Ave, San Diego 92104",City Heights East,32.749904,-117.116371,,,,,,,
J V's Mexican Food,"1112 Morena Blvd, San Diego 92110",Linda Vista,32.768727,-117.20025,,,,,,,
Jalapenos Mexican Food,"11835 Carmel Mountain Rd, San Diego 92128",Carmel Mountain,32.980704,-117.07748,,,,,,,
Jalisco Cafe,"1669 Palm Ave, San Diego 92154",Egger Highlands,32.5836603,-117.0976993,,,,,,,
Jalisco Cafe,"4026 Bonita Rd, Bonita 91902",Bonita,32.658246,-117.040108,,,,,,,
Jaquins,"5102 Imperial Ave, San Diego 92114",Encanto,32.704713,-117.084917,,,,,,,
Jilbertos Mexican Food,"1301 E Valley Pkwy, Escondido 92027",Escondido,33.131232,-117.065015,,,,,,,
Jilberto's Mexican Food,"3305 Palm Ave, San Diego 92154",Otay Mesa West,32.583663,-117.061768,,,,,,,
Jimmy Carter's Mexican Cafe,"3172 5th Ave, San Diego 92103",Middletown,32.738353,-117.160527,,,,,,,
Josefas Cocina Mexicana,"909 Prospect Street, Suite 290, La Jolla 92037",La Jolla,32.8461651,-117.2753734,,,,,,,
Jose's,"1037 Prospect Street , La Jolla 92037",La Jolla,32.84763,-117.274214,,,,,,,
Jose's Pollos,"2802 Ocean View Blvd, San Diego 92113",Logan Heights/Sherman Heights,32.701451,-117.133621,,,,,,,
Juan Bertos Mexican Food,"9530 Miramar Rd, San Diego 92126",Miramar,32.893937,-117.122967,,,,,,,
JV's Mexican Food,"1112 Morena Boulevard, San Diego, CA 92110",Linda Vista,32.768628,-117.2004424,,,,,,,
Karina's Mexican Seafood,"925 B Street, Suite 101, San Diego 92101",Core-Columbia,32.717539,-117.155911,,,,,,,
Karina's Mexican Seafood,"820 Jamacha Rd, El Cajon 92019",El Cajon,32.784997,-116.928062,,,,,,,
Kennedy's Karne,"1760 E Valley Pkwy, Escondido 92027",Escondido,33.1357862,-117.056753,,,,,,,
Kotija Jr Taco Shop,"2668 Del Mar Trails Rd, San Diego 92130",Carmel Valley,32.9444908,-117.2245231,,,,,,,
Kotija Taco Shop,"295 E Orange Avenue, Chula Vista 91911",Chula Vista,32.604608,-117.039368,,,,,,,
Kotija Taco Shop,"2319 E Valley Pkwy # B, Escondido 92027",Escondido,33.140234,-117.045568,,,,,,,
La Cachonda Cachonda,"110 E Olive Dr, San Diego 92173",San Ysidro,32.552724,-117.042622,,,,,,,
La Canada Mexican Food,"940 Cardiff St, San Diego 92114",Paradise Hills,32.715775,-117.025519,,,,,,,
La Casa del Patron,"7102 El Cajon Blvd., San Diego 92115",La Mesa,32.7689008,-117.0448069,,,,,,,
La Casa Maria,"6969 El Cajon Blvd, San Diego 92115",College Area,32.768555,-117.047851,,,,,,,
La Fachada,"20 25th St, San Diego 92102",Logan Heights/Sherman Heights,32.705597,-117.140362,,,,,,,
La Finca D'Adobe,"5202 Bonita Road, Bonita 91902",Bonita,32.672469,-117.019497,,,,,,,
La Fresqueria,"550 W C St, San Diego 92101",Core-Columbia,32.716837,-117.167706,,,,,,,
La Fuente,"8690 Aero Drive, San Diego 92123",Kearny Mesa,32.810127,-117.140876,,,,,,,
La Fuente Mexican Food,"1227 University Avenue, San Diego 92103",Hillcrest,32.748363,-117.152735,,,,,,,
La Hacienda,"2752 E 18th St, National City 91950",National City,32.674925,-117.075326,,,,,,,
La India Bonita,"1455 Melrose Avenue, Chula Vista 91911",Chula Vista,32.607278,-117.039897,,,,,,,
La Lomita Mexican Grill,"3100 E 8th St, National City 91950",National City,32.684546,-117.074773,,,,,,,
La Loteria,"9335 Air Way Rd Suit 112, San Diego 92154",Otay Mesa West,32.560235,-116.944011,,,,,,,
La Mesita Mexican Food,"7012 University Ave, La Mesa 91942",La Mesa,32.755381,-117.047196,,,,,,,
La Palapa Nayarit,"1873 Palm Ave, San Diego 92154",Egger Highlands,32.58325,-117.093426,,,,,,,
La Panaderia at Bazaar Del,"2754 Calhoun St, San Diego 92110",Old Town,32.754977,-117.197027,,,,,,,
La Perla Cocina Mexicana & Burrito Factory,"745 Emerald Street, San Diego 92109",Pacific Beach,32.7983046,-117.2565632,,,,,,,
La Pinata Mexican,"2836 Juan St, San Diego 92110",Old Town,32.756289,-117.197488,,,,,,,
La Playa Taco Shop,"3973 Mission Blvd, San Diego 92109",Mission Beach,32.789286,-117.253232,,,,,,,
La Popular Tortilleria,"2194 National Ave, San Diego 92113",Barrio Logan,32.697448,-117.140193,,,,,,,
La Posta de Acapulco,"9914 Campo Rd, Spring Valley 91977",Spring Valley,32.748099,-116.982702,,,,,,,
La Posta de Acapulco's,"3980 3rd Avenue, San Diego 92103",Hillcrest,32.749516,-117.162886,,,,,,,
La Puerta,"560 4th Avenue, San Diego 92101",Gaslamp,32.711042,-117.161207,,,,,,,
La Salsa,"415 Horton Plz, San Diego 92101",Horton Plaza,32.714286,-117.161228,,,,,,,
La Salsa Fresh Mexican Grill,"12880 Carmel Country Rd, San Diego 92130",Carmel Valley,32.9545139,-117.2295164,,,,,,,
La Salsa Restaurant - Escondido,"200 E Via Rancho Pkwy, Escondido 92025",Escondido,33.069264,-117.068726,,,,,,,
La Sierra Cafe,"306 Highland Ave, National City 91950",National City,32.682292,-117.100499,,,,,,,
La Tiendita de Linda Vista,"2187 Ulric St, San Diego 92111",Linda Vista,32.783699,-117.169265,,,,,,,
La Tiendita Mexican Market,"3851 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.827409,-117.205284,,,,,,,
La Villita Mexican and Seafood,"1604 E 18th St, National City 91950",National City,32.6715659,-117.0867109,,,,,,,
Lalo's,"1266 University Avenue, San Diego 92103",Hillcrest,32.748551,-117.152726,,,,,,,
Las Brazas Mexican Food,"330 W Felicita Ave, Escondido 92025",Escondido,33.104568,-117.073647,,,,,,,
Las Cuatro Milpas,"1857 Logan Ave, San Diego 92113",Barrio Logan,32.7019382,-117.1451194,,,,,,,
Las Hadas Bar & Grill,"558 Fourth Avenue, San Diego 92101",Gaslamp,32.711026,-117.161206,,,,,,,
Las Morelianas Carnitas Estilo,"3645 University Ave, San Diego 92104",City Heights East,32.749563,-117.114561,,,,,,,
Las Olas Mexican Restaurant,"3924 W Point Loma Boulevard, San Diego 92110",Point Loma,32.7543707,-117.2220424,,,,,,,
Las Parrillas Mexican Food,"2451 Jamacha Rd, El Cajon 92019",El Cajon,32.745319,-116.928161,,,,,,,
Las Uvas,"632 National City Blvd, National City 91950",National City,32.6769001,-117.1076128,,,,,,,
Lienzo Charro,"12511 Poway Rd, Poway 92064",Poway,32.952087,-117.059746,,,,,,,
Lime,"653 5th Avenue, San Diego 92101",Gaslamp,32.71208,-117.160036,,,,,,,
Liticker's Liquor & Deli,"4955 Voltaire St, San Diego 92107",Ocean Beach,32.7514148,-117.246049,,,,,,,
Living Room Cafe & Bistro,"2541 San Diego Ave, San Diego 92110",Old Town,32.752897,-117.195317,,,,,,,
Livingston's Chicken Kitchen,"5026 Newport Ave, San Diego 92107",Ocean Beach,32.747314,-117.251485,,,,,,,
Lolita's,"202 Park Boulevard, San Diego 92101",East Village,32.707451,-117.154896,,,,,,,
Lolita's Taco Shop,"7305 Clairemont Mesa Boulevard, San Diego 92111",Kearny Mesa,32.832563,-117.160706,,,,,,,
Lolita's Taco Shop,"4516 Bonita Rd, Bonita 91902",Bonita,32.661466,-117.030745,,,,,,,
Loma Bonita,"1155 Scott Street, San Diego 92106",Point Loma,32.721472,-117.23014,,,,,,,
Lomas Cafe,"3218 Main Street, Chula Vista 91911",Chula Vista,32.594937,-117.064013,,,,,,,
Los Amigos Cocina,"3130 University Ave, San Diego 92104",North Park,32.748637,-117.126744,,,,,,,
Los Dos Pedros,"723 Turquoise Street, San Diego 92109",Pacific Beach,32.808235,-117.260421,,,,,,,
Los Koras,"4297 Market St, San Diego 92102",Encanto,32.711363,-117.102529,,,,,,,
Los Locos Bar & Grill,"2502 San Diego Ave, San Diego 92110",Old Town,32.753023,-117.1948797,,,,,,,
Los Palmitos Taco Shop,"5145 Clairemont Mesa Blvd, San Diego 92117",Clairemont,32.834263,-117.179937,,,,,,,
Los Panchitos,"2860 Main St, San Diego 92113",Barrio Logan,32.6928308,-117.1323357,,,,,,,
Los Panchos de Charly,"431 E Street, San Diego 92101",Gaslamp,32.714519,-117.16075,,,,,,,
Los Panchos Taco Shop,"409 Washington St, San Diego 92103",Hillcrest,32.749763,-117.161336,,,,,,,
Los Pinos Taco Shop,"5660 Lake Murray Blvd, La Mesa 91942",La Mesa,32.782211,-117.030495,,,,,,,
Los Primos,"7770 Regents Road, San Diego 92122",University City,32.862089,-117.223004,,,,,,,
Los Primos,"16621 Dove Canyon Rd, San Diego 92127",Rancho Bernardo,33.01514,-117.111672,,,,,,,
Los Primos Mexican Food,"2556 Laning Rd, San Diego 92106",Point Loma,32.7280065,-117.2176881,,,,,,,
Los Primos Mexican Food,"9211 Clairemont Mesa Blvd, San Diego 92123",Kearny Mesa,32.8311625,-117.1303717,,,,,,,
Los Primos Mexican Food,"7343 Jackson Dr, San Diego 92119",San Carlos,32.8020521,-117.0430013,,,,,,,
Los Primos Mexican Food,"1605 Cactus Rd, San Diego 92154",Otay Mesa West,32.567816,-116.988136,,,,,,,
Los Primos Mexican Food,"3733 Main St, Chula Vista 91911",Chula Vista,32.594563,-117.052912,,,,,,,
Los Primos Mexican Food,"16711 Bernardo Center Dr, San Diego 92128",Rancho Bernardo,33.017487,-117.07561,,,,,,,
Los Reyes Mexican Food,"2496 Broadway, San Diego 92102",Golden Hill/South Park,32.715937,-117.14052,,,,,,,
Los Reyes Mexican Food,"1270 Picador Blvd, San Diego 92154",Otay Mesa West,32.573914,-117.054335,,,,,,,
Los Reyes Mexican Food,"4696 Market St, San Diego 92102",Encanto,32.711537,-117.093795,,,,,,,
Los Rios Mexican & Seafood,"7977 Broadway, Lemon Grove 91945",Lemon Grove,32.7427083,-117.0273385,,,,,,,
Los Taquitos Taco Shop,"1665 Third Avenue, Chula Vista 91911",Chula Vista,32.595569,-117.064336,,,,,,,
Los Tres Potrillos,"362 E San Ysidro Blvd, San Ysidro 92173",San Ysidro,32.55088,-117.038525,,,,,,,
Lucha Libre,"3016 University Avenue, San Diego 92104",North Park,32.7486959,-117.1297798,,,,,,,
Lucys Taco Shop,"3542 Ashford St, San Diego 92111",Clairemont,32.808212,-117.160062,,,,,,,
Lucy's Taco Shop,"109 W C St, San Diego 92101",Core-Columbia,32.716563,-117.164014,,,,,,,
Lupe's Cafe,"12759 Poway Rd, Poway 92064",Poway,32.955729,-117.054744,,,,,,,
Lupe's Taco Shop,"7621 Linda Vista Rd, San Diego 92111",Clairemont,32.8014604,-117.1572042,,,,,,,
Luzitas,"2933 Beyer Blvd, San Diego 92154",Otay Mesa West,32.574915,-117.067467,,,,,,,
Lydia's Cafe,"1628 Palm Ave, San Diego 92154",Egger Highlands,32.584037,-117.098715,,,,,,,
Ma Eugenia's Kitchen,"2455 Imperial Ave, San Diego 92102",Logan Heights/Sherman Heights,32.7062322,-117.1411722,,,,,,,
Macho's Taco Shop,"3757 Avocado Blvd, La Mesa 91941",La Mesa,32.747471,-116.961939,,,,,,,
Maggies Cafe,"3232 D Greyling Dr, San Diego 92123",Serra Mesa,32.8022793,-117.1395772,,,,,,,
Mama Testa,"9225 Mira Mesa Blvd, Ste 102, San Diego 92126",East Village,32.916557,-117.125923,,,,,,,
Manana's Mexican Food,"1255 Avocado Ave, El Cajon 92020",El Cajon,32.7803981,-116.9578005,,,,,,,
Marcy's Taco Shop,"756 Ventura Place, San Diego 92109",Mission Beach,32.772068,-117.251883,,,,,,,
Margarita's Family,"4955 Newport Ave, San Diego 92107",Ocean Beach,32.746292,-117.250379,,,,,,,
Margarita's Kitchen,"879 W Harbor Dr, San Diego 92101",Marina,32.711267,-117.170308,,,,,,,
Mariscos Costa Azul,"1555 Palm Ave, San Diego 92154",Egger Highlands,32.583663,-117.100481,,,,,,,
Mariscos del Toro,"2490 Main Street, Chula Vista 91911",Chula Vista,32.5951966,-117.0801675,,,,,,,
Mariscos el Kiki,Location Varies 91911,Chula Vista,32.5946168,-117.0811201,,,,,,,
Mariscos El Pulpo,"415 Market Street, San Diego 92101",Gaslamp,32.7112766,-117.1607152,,,,,,,
Mariscos El Titanic,"3600 Fairmount Ave, San Diego 92105",City Heights East,32.744146,-117.101153,,,,,,,
Mariscos German Lonchera Taco Truck,"3269 Beyer Blvd, San Diego 92173",Otay Mesa West,32.5675467,-117.0632296,,,,,,,
Mariscos Kikos Place El Original de San Felipe Fish Taco 1.25,"4404 Texas St, San Diego 92116",University Heights,32.7574309,-117.139193,,,,,,,
Mariscos La Cacho,"3120 Main Street, Chula Vista 91911",Chula Vista,32.5947706,-117.066217,,,,,,,
Mariscos la Sinaloense,"9410 Apple St, Spring Valley 91977",Spring Valley,32.71506,-116.9969156,,,,,,,
Mariscos Negro Durazo,"6954 Federal Blvd, Lemon Grove 91945",Lemon Grove,32.74182,-117.04854,,,,,,,
Mariscos Nine Seas Seafood,"3030 Grape Street, San Diego 92102",Golden Hill/South Park,32.7268354,-117.1288843,,,,,,,
Maritza's Mexican Food,"3582 Mount Acadia Blvd, San Diego 92111",Clairemont,32.806781,-117.182931,,,,,,,
Marlen's Taco Shop,"8921 Jamacha Rd, Spring Valley 91977",Spring Valley,32.714663,-117.006727,,,,,,,
Mauricio's,"5375 Kearny Villa Road, San Diego 92123",Kearny Mesa,32.830587,-117.138658,,,,,,,
Mauricio's,"3200 Adams Ave, San Diego 92116",Normal Heights,32.763537,-117.124836,,,,,,,
McDini's,"105 E 8th St, National City 91950",National City,32.676253,-117.105766,,,,,,,
Mexican Fiesta,"1460 India Street, San Diego 92101",Little Italy,32.720478,-117.168462,,,,,,,
Mexican Fiesta,"11259 Camino Ruiz, San Diego 92126",Mira Mesa,32.926744,-117.143835,,,,,,,
Mexican Village,"809 W Harbor Dr, San Diego 92101",Marina,32.711267,-117.16993,,,,,,,
Mexico Viejo Mexican Food,"362 E San Ysidro Blvd, San Diego 92173",San Ysidro,32.55088,-117.038525,,,,,,,
Mexicocina,"12213 Poway Rd, Poway 92064",Poway,32.950725,-117.067223,,,,,,,
Mi Amigo Mexican Food & Sea,"4408 University Ave, San Diego 92105",City Heights East,32.749737,-117.099563,,,,,,,
Mi Amigo's Taco Shop,"1999 Sweetwater Rd, National City 91950",National City,32.661365,-117.078726,,,,,,,
Mi Guadalajara Taco Shop,"6358 Del Cerro Blvd, San Diego 92120",College Area,32.783419,-117.060545,,,,,,,
Mi Ranchito Mexican,"12812 Rancho Penasquitos Blvd, San Diego 92129",Rancho Penasquitos,32.950907,-117.10769,,,,,,,
Mi Rancho Taco Shop Numero Uno,"3170 Main St, San Diego 92113",Barrio Logan,32.692857,-117.125788,,,,,,,
Miguel's Cocina,"2912 Shelter Island Drive, San Diego 92106",Point Loma,32.722246,-117.230048,,,,,,,
Miguel's Cocina,"2444 San Diego Avenue, San Diego 92110",Old Town,32.752208,-117.193844,,,,,,,
Miguel's Cocina,"10514 Craftsman Way, San Diego 92127",Rancho Bernardo,33.020272,-117.111524,,,,,,,
Mike's Taco Club,"5060 Newport Avenue, San Diego 92107",Ocean Beach,32.7475203,-117.252094,,,,,,,
Miramar Cafe,"7128 Miramar Rd, San Diego 92121",Miramar,32.879678,-117.160606,,,,,,,
"Mis Dos Gallos Taqueria, Fruit & Deli","1088 Estes St, El Cajon 92020",El Cajon,32.7806175,-116.9665944,,,,,,,
Mission Taco Mexican Food,"10443 San Diego Mission Rd, San Diego 92108",Grantville,32.785788,-117.113297,,,,,,,
Mr Tacos,"2503 Sweetwater Rd, National City 91950",National City,32.660114,-117.0720889,,,,,,,
Mr. Ruriberto's Taco Shop,"3202 Mission Blvd, San Diego 92109",Mission Beach,32.772101,-117.251362,,,,,,,
Murphy's Market (City Heights),"3596 Fairmount Ave, San Diego 92105",City Heights East,32.743521,-117.101293,,,,,,,
Murrieta's,"5170 Bonita Rd, Bonita 91902",Bonita,32.671882,-117.020156,,,,,,,
Mustangs & Burros,"9700 N Torrey Pines Road, La Jolla 92037",La Jolla,32.884041,-117.244135,,,,,,,
MXN,"3742 Midway Drive, San Diego 92110",Point Loma,32.753389,-117.216972,,,,,,,
MXN,"5330 El Cajon Boulevard, San Diego 92115",City Heights East,32.757757,-117.080763,,,,,,,
MXN,"1525 Morena Boulevard, San Diego 92110",Bay Park,32.774563,-117.205605,,,,,,,
MXN,"2303 Garnet Avenue, San Diego 92109",Pacific Beach,32.802522,-117.227789,,,,,,,
Nati's Mexican,"1852 Bacon St, San Diego 92107",Ocean Beach,32.746217,-117.251825,,,,,,,
New Mexico Cafe,"1784 Newton Ave, San Diego 92113",Barrio Logan,32.701365,-117.147803,,,,,,,
Newport Quik Stop Liquor & Cafe Bella,"4291 Newport Avenue, San Diego 92107",Point Loma,32.7393236,-117.2388383,,,,,,,
Nico's Mexican Food,"4918 Newport Ave, San Diego 92107",Ocean Beach,32.746164,-117.249613,,,,,,,
Nico's Taco Shop,"3860 Valley Centre Dr, San Diego 92130",Carmel Valley,32.938823,-117.231843,,,,,,,
Nico's Taco Shop,"5151 Morena Pl, San Diego 92110",Linda Vista,32.768599,-117.199373,,,,,,,
Nolbertos Taco Shop,"3120 Market St, San Diego 92102",Logan Heights/Sherman Heights,32.711837,-117.126877,,,,,,,
Northgate Gonzalez Market,"1410 S 43rd St, San Diego 92113",Mountain View,32.691452,-117.102443,,,,,,,
